hhid,hh_members,relation,gender,dob_gc,hh_education,marital_status,no_of_marriage,main_occupation,longitude,latitude,altitude,kebele,Q401,Q406,Q301,Q302,Q304,Q306,Q307,Q308m,Qsou_inform,Qtransport,house_equipment,Qanimal,Q3098,Q3099,Q30910,Q30911,Q3098n,Q3099n,Q30910n,Q30911n,Q30912n,Q30913n,Q30914n,Q30915n
DT0100002,6.0,1.0,1.0,4/3/1973,1.0,1.0,2.0,2.0,37.75431,12.97152,2623.0,DT01,1.0,0.0,0,1,1,3,2,0,0,1,1,4,1,1,1,1,1,1,2,1,1,0,0.0,0.0
DT0100005,5.0,1.0,1.0,10/3/1973,2.0,1.0,2.0,3.0,37.75393,12.97195,2603.0,DT01,1.0,0.0,0,0,1,1,3,2,1,0,2,0,0,0,0,0,0,0,0,0,3,2,0.0,0.0
DT0100006,4.0,1.0,1.0,7/12/1967,7.0,1.0,2.0,5.0,37.75296,12.97274,2595.0,DT01,1.0,0.0,0,1,1,1,3,2,3,0,2,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0
DT0100007,4.0,1.0,1.0,7/19/1968,7.0,1.0,1.0,9.0,37.75296,12.97276,2596.0,DT01,1.0,0.0,0,1,1,1,3,2,3,0,2,1,0,0,1,0,0,0,2,0,1,2,0.0,0.0
DT0100011,1.0,1.0,1.0,7/12/1982,6.0,2.0,0.0,2.0,37.75465,12.97211,2626.0,DT01,1.0,0.0,0,1,1,1,3,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0
DT0100012,4.0,1.0,1.0,5/1/1982,8.0,1.0,1.0,4.0,37.75434,12.97306,2612.0,DT01,1.0,0.0,0,1,1,1,3,4,3,0,2,1,0,0,1,0,0,0,1,0,3,1,0.0,0.0
DT0100014,6.0,1.0,0.0,2/20/1976,1.0,4.0,2.0,2.0,37.75439,12.97243,2618.0,DT01,1.0,0.0,0,1,1,3,2,0,0,0,2,1,1,0,0,0,1,0,0,0,1,1,0.0,0.0
DT0100015,5.0,1.0,1.0,2/22/1969,2.0,1.0,2.0,2.0,37.75414,12.97294,2584.0,DT01,1.0,0.0,0,1,2,1,2,0,0,0,0,2,0,0,1,1,0,0,1,1,0,0,0.0,0.0
DT0100016,6.0,1.0,1.0,2/23/1954,2.0,1.0,2.0,2.0,37.75378,12.97254,2597.0,DT01,1.0,0.0,0,1,1,4,3,0,0,0,2,1,0,0,0,1,0,0,0,1,1,1,0.0,0.0
DT0100018,2.0,1.0,0.0,2/23/1993,8.0,2.0,0.0,1.0,37.75433,12.97283,2584.0,DT01,1.0,0.0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0100020,2.0,1.0,0.0,9/13/1964,1.0,3.0,2.0,3.0,37.75449,12.97282,2584.0,DT01,1.0,0.0,0,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0100021,2.0,1.0,0.0,1/23/1974,1.0,5.0,2.0,0.0,37.75493,12.97289,2610.0,DT01,1.0,0.0,0,1,1,1,3,0,0,0,2,1,0,0,1,0,0,0,1,0,1,1,0.0,0.0
DT0100022,5.0,1.0,1.0,11/16/1954,2.0,1.0,2.0,2.0,37.75488,12.97294,2605.0,DT01,1.0,0.0,0,1,1,1,2,2,0,1,0,2,1,1,0,0,1,1,0,0,0,0,0.0,0.0
DT0100024,3.0,1.0,0.0,1/24/1984,2.0,4.0,1.0,1.0,37.75441,12.97297,2604.0,DT01,1.0,0.0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0100025,4.0,1.0,1.0,2/22/1981,6.0,1.0,2.0,8.0,37.75399,12.97292,2601.0,DT01,1.0,0.0,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0
DT0100027,2.0,1.0,0.0,12/3/1939,1.0,4.0,3.0,0.0,37.75389000000001,12.9734,2601.0,DT01,1.0,0.0,0,1,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0100028,3.0,1.0,0.0,1/24/1956,1.0,3.0,2.0,0.0,37.7543,12.9734,2595.0,DT01,1.0,0.0,0,1,1,1,2,0,0,0,1,3,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT0100030,4.0,1.0,0.0,2/22/1973,1.0,3.0,2.0,1.0,37.75445,12.9734,2584.0,DT01,1.0,0.0,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0100031,5.0,1.0,1.0,1/23/1979,6.0,1.0,2.0,4.0,37.75458,12.97334,2604.0,DT01,1.0,0.0,0,1,1,1,3,2,1,0,2,1,0,0,1,0,0,0,1,0,2,1,0.0,0.0
DT0100033,6.0,1.0,1.0,2/23/1964,4.0,1.0,3.0,2.0,37.75283,12.97333,2594.0,DT01,1.0,0.0,0,1,1,1,3,0,0,1,2,2,1,1,0,0,1,2,0,0,2,1,0.0,1.0
DT0100034,3.0,1.0,0.0,2/22/1969,1.0,3.0,5.0,3.0,37.75491,12.97329,2602.0,DT01,1.0,0.0,0,1,1,1,3,0,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0.0,0.0
DT0100035,6.0,1.0,1.0,4/23/1974,1.0,1.0,3.0,3.0,37.75483,12.97341,2611.0,DT01,1.0,0.0,0,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
DT0100036,1.0,1.0,0.0,2/23/1972,7.0,3.0,3.0,4.0,37.75469,12.97339,2698.0,DT01,1.0,0.0,0,1,1,1,3,2,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0100037,3.0,1.0,1.0,6/10/1944,3.0,1.0,1.0,2.0,37.75464,12.97344,2593.0,DT01,1.0,0.0,0,1,1,1,3,0,0,0,2,1,1,0,0,0,1,0,0,0,1,1,0.0,0.0
DT0100038,6.0,1.0,1.0,12/6/1966,2.0,1.0,2.0,2.0,37.75443,12.97396,2598.0,DT01,1.0,0.0,0,1,1,1,3,0,1,1,2,2,1,1,0,0,1,1,0,0,2,1,0.0,1.0
DT0100039,6.0,1.0,1.0,2/23/1972,6.0,1.0,2.0,2.0,37.754,12.9735,2596.0,DT01,1.0,0.0,0,1,1,1,3,0,2,1,2,3,1,1,1,0,1,1,2,0,2,1,0.0,1.0
DT0100040,5.0,1.0,0.0,2/23/1957,3.0,5.0,2.0,2.0,37.75631,12.97476,2595.0,DT01,1.0,0.0,0,1,1,4,3,0,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0
DT0100041,2.0,1.0,0.0,2/22/1991,6.0,5.0,1.0,8.0,37.75413,12.97389,2595.0,DT01,1.0,0.0,0,1,1,1,3,1,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0
DT0100042,1.0,1.0,0.0,2/22/1997,7.0,2.0,0.0,1.0,37.75433,12.97391,2588.0,DT01,1.0,0.0,0,1,1,1,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0
DT0100044,4.0,1.0,1.0,2/23/1980,4.0,1.0,1.0,2.0,37.7543,12.97407,2601.0,DT01,1.0,0.0,0,1,2,1,3,0,0,1,0,4,1,1,1,1,1,1,2,1,0,0,0.0,0.0
DT0100046,2.0,1.0,0.0,2/22/1946,1.0,3.0,2.0,2.0,37.75388,12.97409,2585.0,DT01,1.0,0.0,0,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0100047,3.0,1.0,1.0,12/28/1944,7.0,1.0,3.0,9.0,37.75384,12.97406,2592.0,DT01,1.0,0.0,0,1,1,1,3,1,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0
DT0100048,4.0,1.0,0.0,12/16/1964,8.0,1.0,2.0,4.0,37.7538,12.97452,2610.0,DT01,1.0,0.0,0,1,1,1,3,3,3,1,2,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0
DT0100050,3.0,1.0,0.0,1/23/1954,1.0,4.0,1.0,1.0,37.75404,12.97488,2595.0,DT01,1.0,0.0,0,1,1,1,3,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0100051,6.0,1.0,1.0,9/25/1961,8.0,1.0,1.0,4.0,37.7542,12.97452,2600.0,DT01,1.0,0.0,0,1,1,1,3,6,1,1,2,2,1,1,0,0,1,1,0,0,2,2,0.0,0.0
DT0100052,2.0,1.0,0.0,2/23/1931,1.0,4.0,1.0,2.0,37.75431,12.9743,2598.0,DT01,1.0,0.0,0,1,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.0,0.0
DT0100054,4.0,1.0,1.0,3/19/1974,8.0,1.0,1.0,4.0,37.75431,12.97462,2609.0,DT01,1.0,0.0,0,1,1,1,3,3,3,0,2,1,0,0,0,1,0,0,0,1,3,1,0.0,0.0
DT0100055,6.0,1.0,1.0,3/25/1960,1.0,1.0,3.0,2.0,37.75444,12.9748,2604.0,DT01,1.0,0.0,0,1,1,4,3,1,0,1,1,3,1,1,0,1,1,2,0,1,1,0,0.0,0.0
DT0100057,3.0,1.0,1.0,2/22/1979,4.0,1.0,1.0,2.0,37.75474000000001,12.97487,2601.0,DT01,1.0,0.0,0,1,2,1,3,0,1,0,2,3,1,0,1,1,1,0,1,1,1,1,0.0,0.0
DT0100058,3.0,1.0,1.0,2/23/1979,8.0,1.0,1.0,8.0,37.75474000000001,12.97472,2593.0,DT01,1.0,0.0,0,1,2,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0
DT0100059,5.0,1.0,1.0,2/23/1959,2.0,1.0,1.0,2.0,37.75474000000001,12.97477,2600.0,DT01,1.0,0.0,0,1,1,4,3,1,3,1,2,2,0,1,0,1,0,3,0,1,2,1,0.0,1.0
DT0100060,4.0,1.0,1.0,1/23/1982,6.0,1.0,1.0,4.0,37.75465,12.97443,2599.0,DT01,1.0,0.0,0,1,2,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
DT0100061,6.0,1.0,1.0,6/2/1974,2.0,1.0,1.0,6.0,37.75475,12.97432,2610.0,DT01,1.0,1.0,0,1,1,1,3,2,3,0,2,2,1,0,0,1,1,0,0,1,3,2,0.0,0.0
DT0100063,6.0,1.0,1.0,1/24/1980,1.0,1.0,2.0,3.0,37.75473,12.97414,2619.0,DT01,1.0,0.0,0,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0.0,0.0
DT0100064,4.0,1.0,1.0,1/24/1984,4.0,1.0,1.0,3.0,37.75478,12.97411,2608.0,DT01,1.0,0.0,0,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0100065,6.0,1.0,1.0,1/24/1976,4.0,1.0,1.0,2.0,37.75494000000001,12.97432,2606.0,DT01,1.0,0.0,0,1,1,1,2,1,1,1,1,2,1,0,0,1,1,0,0,1,2,0,0.0,1.0
DT0100067,2.0,1.0,0.0,4/2/1995,7.0,2.0,0.0,1.0,37.755,12.97745,2605.0,DT01,1.0,0.0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0100068,2.0,1.0,0.0,2/22/1941,1.0,4.0,2.0,9.0,37.755,12.97471,2600.0,DT01,1.0,0.0,0,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0100069,5.0,1.0,1.0,3/24/1974,4.0,5.0,3.0,2.0,37.75782,12.97485,2606.0,DT01,1.0,0.0,0,1,1,1,3,3,2,0,2,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0
DT0100070,6.0,1.0,1.0,1/23/1949,1.0,1.0,1.0,2.0,37.75528,12.97496,2595.0,DT01,1.0,0.0,0,1,1,2,2,1,0,1,2,3,1,1,0,1,1,1,0,1,1,1,0.0,0.0
DT0100071,7.0,1.0,1.0,1/23/1954,5.0,1.0,2.0,3.0,37.75527,12.97483,2592.0,DT01,1.0,0.0,0,1,1,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
DT0100072,5.0,1.0,1.0,1/7/1937,1.0,1.0,1.0,9.0,37.75529,12.97468,2597.0,DT01,1.0,0.0,0,1,1,1,3,1,0,1,2,2,1,1,0,0,1,1,0,0,1,1,0.0,1.0
DT0100073,3.0,1.0,0.0,2/22/1977,2.0,3.0,1.0,3.0,37.75511,12.97438,2600.0,DT01,1.0,0.0,0,1,1,1,3,1,1,0,2,2,0,0,1,1,0,0,1,1,1,1,0.0,0.0
DT0100074,2.0,1.0,0.0,11/21/1990,8.0,2.0,0.0,4.0,37.75519,12.97392,2614.0,DT01,1.0,0.0,0,1,1,1,3,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0
DT0100075,6.0,1.0,1.0,5/29/1975,2.0,1.0,1.0,3.0,37.75566,12.97375,2594.0,DT01,1.0,0.0,0,1,1,1,3,1,0,0,2,1,0,0,1,0,0,0,2,0,1,1,0.0,0.0
DT0100076,4.0,1.0,1.0,1/23/1982,8.0,1.0,1.0,4.0,37.75592,12.97386,2591.0,DT01,1.0,0.0,0,1,1,1,3,4,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0
DT0100077,6.0,1.0,1.0,2/23/1964,6.0,1.0,2.0,5.0,37.75614,12.9738,2616.0,DT01,1.0,0.0,0,1,1,1,3,2,2,1,2,4,1,1,1,1,1,1,2,1,1,1,0.0,1.0
DT0100078,4.0,1.0,0.0,1/23/1986,4.0,5.0,1.0,0.0,37.75601,12.97357,2601.0,DT01,1.0,0.0,0,1,1,1,3,2,2,0,2,0,0,0,0,0,0,0,0,0,3,1,0.0,0.0
DT0100079,3.0,1.0,0.0,1/23/1934,1.0,4.0,1.0,0.0,37.75583,12.97341,2610.0,DT01,1.0,0.0,0,1,1,1,3,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0.0,0.0
DT0100080,3.0,1.0,0.0,11/24/1973,7.0,4.0,2.0,1.0,37.75581,12.97388,2599.0,DT01,1.0,0.0,0,1,1,1,3,1,1,0,2,2,0,0,1,1,0,0,1,1,2,1,0.0,0.0
DT0100081,4.0,1.0,1.0,1/23/1974,7.0,1.0,1.0,4.0,37.75469,12.9751,2604.0,DT01,1.0,0.0,0,1,1,1,3,3,3,0,2,1,0,0,0,1,0,0,0,1,2,1,0.0,0.0
DT0100082,4.0,1.0,0.0,2/22/2029,1.0,4.0,2.0,0.0,37.75441,12.97145,2591.0,DT01,1.0,0.0,0,1,1,1,3,0,0,1,2,2,1,0,0,1,1,0,0,1,2,1,0.0,1.0
DT0100083,6.0,1.0,1.0,2/23/1960,8.0,1.0,1.0,4.0,37.7543,12.97509,2603.0,DT01,1.0,0.0,0,1,1,1,3,6,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0
DT0100084,5.0,1.0,1.0,2/22/1977,3.0,1.0,1.0,3.0,37.75415,12.97519,2585.0,DT01,1.0,0.0,0,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0100086,4.0,1.0,1.0,4/27/1963,8.0,1.0,1.0,9.0,37.75389000000001,12.97517,2595.0,DT01,1.0,0.0,0,1,1,1,3,4,3,1,2,2,0,1,0,1,0,1,0,1,3,2,0.0,1.0
DT0100088,1.0,1.0,0.0,12/6/1948,1.0,3.0,2.0,1.0,37.7545,12.97541,2587.0,DT01,0.0,0.0,0,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0100089,3.0,1.0,1.0,2/22/1954,1.0,1.0,2.0,2.0,37.75426,12.97535,2664.0,DT01,0.0,0.0,0,1,2,3,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.0,0.0
DT0100091,6.0,1.0,1.0,2/22/1975,8.0,1.0,1.0,4.0,37.75444,12.97544,2594.0,DT01,1.0,0.0,0,1,1,1,3,3,2,1,2,2,0,0,1,1,0,0,1,1,3,1,0.0,0.0
DT0100093,4.0,1.0,0.0,2/23/1948,2.0,4.0,1.0,2.0,37.75482,12.97535,2600.0,DT01,0.0,0.0,0,1,1,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0100094,7.0,1.0,0.0,2/22/1977,1.0,4.0,1.0,0.0,37.75525,12.97562,2592.0,DT01,1.0,0.0,0,1,1,1,3,1,2,0,2,0,0,0,0,0,0,0,0,0,3,1,0.0,0.0
DT0100097,7.0,1.0,1.0,3/12/1964,1.0,1.0,3.0,2.0,37.75473,12.97571,2605.0,DT01,1.0,0.0,0,1,2,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0100099,3.0,1.0,1.0,2/10/1961,7.0,1.0,3.0,4.0,37.75401,12.97565,2582.0,DT01,1.0,0.0,0,1,1,4,3,2,1,0,2,1,0,0,1,0,0,0,1,0,3,2,0.0,0.0
DT0100100,4.0,1.0,1.0,1/24/1952,2.0,1.0,2.0,2.0,37.75429000000001,12.9763,2581.0,DT01,1.0,0.0,0,1,1,1,3,1,2,0,2,1,0,0,1,0,0,0,2,0,2,1,0.0,0.0
DT0100101,4.0,1.0,1.0,2/23/1974,5.0,1.0,1.0,5.0,37.75494000000001,12.9744,2606.0,DT01,1.0,0.0,0,1,2,4,3,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0100102,3.0,1.0,0.0,2/22/1939,1.0,5.0,1.0,0.0,37.75531,12.97615,2586.0,DT01,1.0,0.0,0,1,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
DT0100103,4.0,1.0,1.0,4/2/1974,3.0,1.0,2.0,2.0,37.75556,12.97534,2601.0,DT01,1.0,0.0,0,1,2,1,3,2,1,0,2,2,1,0,0,1,1,0,0,1,1,2,0.0,0.0
DT0100104,4.0,1.0,0.0,2/11/1964,1.0,3.0,1.0,2.0,37.75471,12.97585,2611.0,DT01,1.0,0.0,0,1,2,3,2,0,0,0,2,1,0,0,0,1,0,0,0,1,1,1,0.0,0.0
DT0100105,2.0,1.0,1.0,7/12/1973,8.0,5.0,1.0,4.0,37.75492,12.97618,2595.0,DT01,1.0,1.0,0,1,1,1,3,4,3,0,2,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0
DT0100106,5.0,1.0,1.0,2/22/1966,8.0,1.0,1.0,4.0,37.75515,12.97605,2587.0,DT01,1.0,0.0,0,1,1,1,3,3,1,0,2,2,1,0,0,1,1,0,0,2,1,1,0.0,0.0
DT0100108,1.0,1.0,0.0,2/23/1962,1.0,3.0,2.0,3.0,37.75531,12.9759,2586.0,DT01,1.0,0.0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0100109,4.0,1.0,1.0,2/22/1970,8.0,1.0,1.0,4.0,37.75598,12.9758,2609.0,DT01,1.0,0.0,0,1,1,1,3,5,3,0,2,2,0,0,1,1,0,0,2,1,3,1,0.0,0.0
DT0100111,5.0,1.0,1.0,2/22/1974,5.0,1.0,1.0,0.0,37.7557,12.97566,2573.0,DT01,1.0,0.0,0,1,1,1,3,1,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0
DT0100112,4.0,1.0,1.0,2/22/1969,8.0,1.0,1.0,4.0,37.75575,12.97537,2596.0,DT01,1.0,0.0,0,1,1,1,3,3,3,0,2,0,0,0,0,0,0,0,0,0,3,2,0.0,0.0
DT0100113,4.0,1.0,0.0,3/30/1971,5.0,4.0,2.0,0.0,37.75693,12.974,2592.0,DT01,1.0,0.0,0,1,1,1,3,1,2,0,2,2,1,0,0,1,1,0,0,1,3,2,0.0,0.0
DT0100114,7.0,1.0,1.0,2/22/1969,2.0,1.0,1.0,2.0,37.75693,12.974,2592.0,DT01,1.0,0.0,0,1,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0100116,4.0,1.0,0.0,5/29/1972,1.0,3.0,3.0,0.0,37.75772,12.9756,2562.0,DT01,1.0,0.0,0,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0100118,3.0,1.0,1.0,1/23/1989,4.0,1.0,2.0,2.0,37.75735,12.97469,2587.0,DT01,1.0,0.0,0,1,2,1,3,1,2,0,1,2,0,0,1,1,0,0,1,1,1,0,0.0,0.0
DT0100119,2.0,1.0,0.0,1/23/1969,1.0,4.0,1.0,0.0,37.75699,12.97508,2605.0,DT01,1.0,0.0,0,1,1,1,3,0,3,0,2,1,1,0,0,0,1,0,0,0,2,1,0.0,0.0
DT0100120,2.0,1.0,1.0,2/22/1982,7.0,5.0,1.0,4.0,37.75693,12.9751,2588.0,DT01,1.0,0.0,0,1,1,1,3,2,1,0,2,1,1,0,0,0,1,0,0,0,2,2,0.0,0.0
DT0100121,5.0,1.0,1.0,2/23/1984,2.0,1.0,1.0,5.0,37.75753,12.97506,2593.0,DT01,1.0,0.0,0,1,1,1,3,1,0,0,1,2,1,0,0,1,2,0,0,1,1,0,0.0,0.0
DT0100122,4.0,1.0,1.0,2/22/1949,1.0,1.0,1.0,2.0,37.75372,12.97488,2595.0,DT01,1.0,0.0,0,1,1,1,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0
DT0100123,4.0,1.0,0.0,7/4/1987,4.0,2.0,1.0,1.0,37.75769,12.97456,2589.0,DT01,1.0,0.0,0,1,1,1,2,0,2,0,2,1,0,0,0,1,0,0,0,1,1,1,0.0,0.0
DT0100124,7.0,1.0,1.0,1/23/1983,2.0,1.0,3.0,2.0,37.75788,12.97421,2580.0,DT01,1.0,0.0,0,1,2,1,3,2,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0100125,6.0,1.0,1.0,12/31/1969,6.0,1.0,1.0,4.0,37.758,12.97411,2581.0,DT01,1.0,0.0,0,1,1,1,3,3,2,1,2,1,0,0,0,1,0,0,0,1,2,1,0.0,0.0
DT0100126,5.0,1.0,1.0,1/24/1984,6.0,1.0,1.0,2.0,37.75836,12.97438,2585.0,DT01,1.0,0.0,0,1,1,1,3,0,1,0,2,2,1,0,0,1,1,0,0,1,1,2,0.0,0.0
DT0100127,4.0,1.0,1.0,1/24/1964,1.0,3.0,3.0,5.0,37.75816,12.97489,2584.0,DT01,1.0,0.0,0,1,1,3,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0
DT0100131,7.0,1.0,1.0,2/11/1972,3.0,1.0,1.0,2.0,37.75837,12.97495,2583.0,DT01,1.0,0.0,0,1,1,3,3,1,0,1,2,2,0,1,0,1,0,2,0,1,1,1,0.0,1.0
DT0100132,3.0,1.0,1.0,7/19/1975,6.0,1.0,2.0,4.0,37.75876,12.97562,2589.0,DT01,1.0,0.0,0,1,1,1,3,2,2,0,2,2,0,0,1,1,0,0,1,1,3,2,0.0,0.0
DT0100133,5.0,1.0,1.0,11/25/1959,2.0,1.0,2.0,9.0,37.75845,12.97567,2565.0,DT01,1.0,0.0,0,1,1,1,3,1,1,1,2,2,0,1,0,1,0,1,0,3,1,1,0.0,1.0
DT0100133,5.0,1.0,0.0,5/20/1972,2.0,1.0,2.0,9.0,37.75845,12.97567,2565.0,DT01,1.0,0.0,0,1,1,1,3,1,1,1,2,2,0,1,0,1,0,1,0,3,1,1,0.0,1.0
DT0100136,3.0,1.0,1.0,2/22/1954,1.0,1.0,1.0,6.0,37.75762,12.97531,2583.0,DT01,1.0,0.0,0,1,1,1,3,0,2,0,2,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0
DT0100137,2.0,1.0,1.0,1/23/1974,1.0,1.0,1.0,3.0,37.75748,12.97533,2577.0,DT01,1.0,0.0,0,1,1,1,3,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0100138,2.0,1.0,0.0,6/1/1949,1.0,1.0,2.0,2.0,37.75754000000001,12.97564,2583.0,DT01,1.0,0.0,0,1,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0100141,6.0,1.0,1.0,3/14/1949,1.0,1.0,1.0,2.0,37.75656,12.97596,2582.0,DT01,1.0,0.0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0100143,5.0,1.0,1.0,2/22/1954,1.0,1.0,1.0,2.0,37.75574,12.97529,2585.0,DT01,1.0,0.0,0,1,1,1,3,0,1,1,2,2,0,1,0,1,0,1,0,2,1,1,0.0,0.0
DT0100144,5.0,1.0,0.0,2/23/1979,1.0,3.0,2.0,2.0,37.75699,12.97668,2566.0,DT01,1.0,0.0,0,1,1,3,2,1,2,0,1,3,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT0100145,3.0,1.0,1.0,1/24/1984,6.0,1.0,1.0,4.0,37.75713,12.97655,2574.0,DT01,1.0,0.0,0,1,1,1,3,2,2,1,2,2,0,1,1,0,0,1,2,0,1,2,0.0,1.0
DT0100146,3.0,1.0,0.0,8/22/1957,2.0,3.0,2.0,0.0,37.75724,12.97676,2596.0,DT01,1.0,0.0,0,1,1,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,3,2,0.0,0.0
DT0100147,3.0,1.0,1.0,1/23/1977,3.0,1.0,1.0,2.0,37.75731,12.97678,2582.0,DT01,1.0,0.0,0,1,1,1,3,1,0,1,2,3,1,1,1,0,1,1,1,0,1,1,0.0,1.0
DT0100149,3.0,1.0,0.0,2/22/1938,1.0,4.0,3.0,0.0,37.75688,12.97646,2587.0,DT01,1.0,0.0,0,1,1,1,3,2,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0100150,5.0,1.0,1.0,2/22/1961,4.0,1.0,1.0,3.0,37.75682000000001,12.97634,2587.0,DT01,1.0,1.0,0,0,1,1,3,2,3,0,2,3,1,0,1,1,1,0,2,1,3,2,0.0,0.0
DT0100151,3.0,1.0,0.0,11/24/1950,1.0,4.0,1.0,1.0,37.7566,12.97634,2585.0,DT01,1.0,0.0,0,1,1,1,3,0,0,0,1,2,1,0,0,1,1,0,0,1,0,1,0.0,0.0
DT0100154,5.0,1.0,1.0,2/23/1984,5.0,1.0,2.0,3.0,37.75598,12.97621,2592.0,DT01,1.0,0.0,0,1,1,1,3,3,1,0,2,1,0,0,1,0,0,0,1,0,1,1,0.0,0.0
DT0100155,4.0,1.0,1.0,8/21/1938,1.0,1.0,1.0,2.0,37.75602,12.97644,2618.0,DT01,1.0,0.0,0,1,1,1,3,1,0,0,1,2,1,0,1,0,1,0,1,0,1,0,0.0,0.0
DT0100160,4.0,1.0,0.0,6/23/1987,6.0,1.0,1.0,1.0,37.75699,12.97696,2593.0,DT01,1.0,0.0,0,1,1,1,3,0,3,0,2,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0
DT0100161,5.0,1.0,1.0,2/23/1972,8.0,1.0,1.0,4.0,37.75692,12.97714,2593.0,DT01,1.0,0.0,0,1,1,1,3,3,2,0,2,1,1,0,0,0,1,0,0,0,3,2,0.0,0.0
DT0100162,4.0,1.0,1.0,1/24/1984,2.0,1.0,1.0,3.0,37.75705,12.97725,2590.0,DT01,1.0,0.0,0,1,2,1,3,2,2,0,2,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0
DT0100163,4.0,1.0,1.0,1/24/1985,5.0,1.0,1.0,3.0,37.75695,12.97718,2601.0,DT01,1.0,0.0,0,1,1,1,3,1,2,0,2,3,1,0,1,1,1,0,1,1,3,2,0.0,0.0
