hhid,Q401,Q406,Q301,Q302,Q304,Q306,Q307,Q308m,Qsou_inform,Q3098,Q3099,Q30910,Q30911,Q3098n,Q3099n,Q30910n,Q30911n,Q30912n,Q30913n,Q30914n,Q30915n
DT0700906,2.0,2.0,1,1,1,3,1,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0601301,1.0,2.0,2,1,1,3,2,0,1,1,1,1,1,1,2,1,1,1,0,0.0,0.0
DT0601299,1.0,2.0,1,1,1,4,2,0,0,1,0,0,1,1,0,0,1,0,0,0.0,0.0
DT1202004,2.0,2.0,2,1,1,1,2,0,1,1,1,1,0,1,1,1,0,0,0,0.0,0.0
DT0400132,1.0,2.0,1,1,1,3,2,0,0,0,1,0,1,0,2,0,1,1,0,0.0,0.0
DT0500509,1.0,2.0,2,1,1,3,2,0,1,1,0,0,0,1,0,0,0,1,0,0.0,0.0
DT0601294,1.0,2.0,2,1,1,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
DT1300274,2.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0100818,1.0,2.0,2,1,2,1,3,1,2,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0601290,1.0,2.0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
dt0400473,2.0,2.0,2,1,1,3,2,0,1,1,1,1,0,1,1,1,0,1,0,0.0,0.0
DT0102115,1.0,2.0,2,1,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0900081,1.0,2.0,2,1,1,1,3,1,0,0,0,1,0,0,0,1,0,1,0,0.0,0.0
DT0800071,2.0,2.0,2,1,1,4,2,0,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT0700073,2.0,2.0,2,1,1,3,2,0,0,1,1,0,1,1,1,0,1,1,0,0.0,0.0
DT1202100,2.0,2.0,1,1,1,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT1300074,1.0,2.0,2,1,1,4,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT1100099,1.0,2.0,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT1200780,2.0,1.0,1,1,1,3,2,0,0,1,1,0,1,1,1,0,1,1,0,0.0,0.0
DT1200352,2.0,2.0,1,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0101961,1.0,1.0,2,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
DT0900752,1.0,2.0,2,1,1,1,3,1,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT1300071,2.0,2.0,2,1,1,3,2,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0601272,1.0,2.0,2,1,1,3,2,1,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT0700527,2.0,2.0,2,1,1,3,1,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0601270,2.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,0,0,0.0,0.0
DT0101854,1.0,2.0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0101495,1.0,2.0,2,1,2,1,3,0,2,0,0,1,1,0,0,1,1,1,1,0.0,0.0
DT0601174,1.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,0,0,0.0,0.0
DT0601264,1.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,0,0,0.0,0.0
DT0101282,1.0,1.0,2,2,1,1,3,1,2,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0400110,1.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT1100189,1.0,2.0,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT1001065,1.0,2.0,2,1,1,3,2,0,0,0,0,1,1,0,0,1,1,1,0,0.0,0.0
DT0601258,1.0,2.0,2,1,1,3,3,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0600561,2.0,2.0,1,1,1,3,2,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0.0
DT1301089,2.0,2.0,2,1,1,3,2,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0801381,2.0,2.0,1,1,1,3,1,0,2,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT0600241,1.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0600425,1.0,2.0,2,1,1,4,2,0,0,1,1,0,1,1,2,0,1,1,0,0.0,0.0
