hhid,hh_members,sex,hh_education,residence,age,altitude,Q401,Q304,Q306,Q307,Q308m,Qsou_inform,Q504,Q5231,Q5232,Q5233,Q5234,Q524,main_occupation,marital_status,Q3098n,Q3099n,Q30910n,Q30911n,food_secured
DT0100076,0,1,4,0,0,2,1,1,1,3,1,2,2,2,2,2,2,2,4,1,0,0,0,0,1
DT0100077,1,1,3,0,1,2,1,1,1,3,1,2,2,2,2,2,2,1,4,1,1,1,1,1,1
DT0100078,0,0,2,0,0,2,1,1,1,3,1,2,2,2,2,2,2,1,2,0,0,0,0,0,1
DT0100079,0,0,0,0,2,2,1,1,1,3,1,1,2,2,2,2,2,1,2,4,1,0,0,0,1
DT0100080,0,0,3,0,1,2,1,1,1,3,1,1,5,2,2,2,2,1,2,4,0,0,1,1,1
DT0100081,0,1,3,0,1,2,1,1,1,3,1,3,2,2,2,2,2,1,4,1,0,0,0,1,1
DT0100082,0,0,0,0,1,2,1,1,1,3,0,0,1,2,2,2,2,1,2,4,1,0,0,1,1
DT0100083,1,1,4,0,1,2,1,1,1,3,1,2,2,1,2,2,2,2,4,1,0,0,0,0,0
DT0100084,1,1,2,0,0,2,1,1,1,3,0,0,2,2,2,2,2,1,3,1,0,0,0,0,1
DT0100086,0,1,4,0,1,2,1,1,1,3,1,3,2,1,2,2,2,1,4,1,0,1,0,1,0
DT0100088,0,0,0,0,2,2,2,2,3,2,1,0,3,1,2,1,2,2,2,3,0,0,0,0,0
DT0100089,0,1,0,0,1,2,2,2,3,2,0,0,2,1,2,1,2,2,2,1,0,0,1,0,0
DT0100091,1,1,4,0,1,2,1,1,1,3,1,2,2,2,2,2,2,1,4,1,0,0,1,1,1
DT0100093,0,0,1,0,2,2,2,1,1,3,1,1,2,2,2,2,2,2,2,4,0,0,0,0,0
DT0100094,1,0,0,0,0,2,1,1,1,3,1,2,5,1,2,2,2,2,2,4,0,0,0,0,0
DT0100097,1,1,0,0,1,2,1,2,3,2,1,0,2,1,2,2,2,1,2,1,0,0,0,0,0
DT0100099,0,1,3,0,1,2,1,1,4,3,1,1,2,1,2,2,2,1,4,1,0,0,1,0,0
DT0100100,0,1,1,0,2,2,1,1,1,3,1,2,2,1,2,2,2,2,2,1,0,0,1,0,0
DT0100101,0,1,2,0,1,2,1,2,4,3,1,1,2,1,2,2,2,2,4,1,0,0,0,0,0
DT0100102,0,0,0,0,2,2,1,1,1,3,0,1,2,2,2,2,2,2,2,0,0,0,0,0,1
DT0100103,0,1,2,0,1,2,1,2,1,3,1,1,2,2,2,2,2,2,2,1,1,0,0,1,0
DT0100104,0,0,0,0,1,2,1,2,3,2,0,0,2,1,2,2,2,1,2,3,0,0,0,1,0
DT0100105,0,1,4,0,1,2,1,1,1,3,1,3,2,2,2,2,2,1,4,0,0,0,0,0,1
DT0100106,1,1,4,0,1,2,1,1,1,3,1,1,2,2,2,2,2,1,4,1,1,0,0,1,1
DT0100108,0,0,0,0,1,2,1,1,1,2,1,0,2,1,1,2,2,1,3,3,0,0,0,0,0
DT0100109,0,1,4,0,1,2,1,1,1,3,1,3,2,2,2,2,2,1,4,1,0,0,1,1,1
DT0100111,1,1,2,0,1,2,1,1,1,3,1,1,2,2,2,2,2,1,2,1,0,0,0,0,0
DT0100112,0,1,4,0,1,2,1,1,1,3,1,3,2,2,2,2,2,2,4,1,0,0,0,0,1
DT0100113,0,0,2,0,1,2,1,1,1,3,1,2,2,2,2,2,2,2,2,4,1,0,0,1,0
DT0100114,1,1,1,0,1,2,1,1,1,2,0,2,1,2,2,2,2,1,2,1,0,0,0,0,1
DT0100116,0,0,0,0,1,2,1,2,3,2,1,0,2,1,2,2,2,2,2,3,0,0,0,0,0
DT0100118,0,1,2,0,0,2,1,2,1,3,1,2,2,1,2,2,2,2,2,1,0,0,1,1,0
DT0100119,0,0,0,0,1,2,1,1,1,3,0,3,1,2,2,2,2,1,2,4,1,0,0,0,1
DT0100120,0,1,3,0,0,2,1,1,1,3,1,1,2,2,2,2,2,2,4,0,1,0,0,0,1
DT0100121,1,1,1,0,0,2,1,1,1,3,1,0,2,2,2,2,2,2,4,1,1,0,0,1,1
DT0100122,0,1,0,0,2,2,1,1,1,2,0,1,1,2,2,2,2,2,2,1,1,0,0,0,1
DT0100123,0,0,2,0,0,2,1,1,1,2,0,2,3,2,2,2,2,2,2,2,0,0,0,1,1
DT0100124,1,1,1,0,0,2,1,2,1,3,1,1,1,2,2,2,2,1,2,1,0,0,0,0,1
DT0100125,1,1,3,0,1,2,1,1,1,3,1,2,2,2,2,2,2,2,4,1,0,0,0,1,1
DT0100126,1,1,3,0,0,2,1,1,1,3,0,1,1,2,2,2,2,2,2,1,1,0,0,1,1
DT0100127,0,1,0,0,1,2,1,1,3,2,0,0,1,1,2,2,2,2,4,3,0,0,0,1,0
DT0100131,1,1,2,0,1,2,1,1,3,3,1,0,2,1,2,2,2,1,2,1,0,2,0,1,0
DT0100132,0,1,3,0,1,2,1,1,1,3,1,2,2,2,2,2,2,1,4,1,0,0,1,1,0
DT0100133,1,1,1,0,1,2,1,1,1,3,1,1,2,2,2,2,2,1,4,1,0,1,0,1,1
DT0100133,1,0,1,0,1,2,1,1,1,3,1,1,2,2,2,2,2,1,2,1,0,1,0,1,1
DT0100136,0,1,0,0,1,2,1,1,1,3,0,2,2,2,2,2,2,2,3,1,0,0,0,0,0
DT0100137,0,1,0,0,1,2,1,1,1,3,1,1,2,2,2,2,2,1,3,1,0,0,0,0,0
DT0100138,0,0,0,0,2,2,1,1,2,3,0,0,2,1,2,2,2,2,2,1,0,0,0,0,0
DT0100141,1,1,0,0,2,2,1,1,1,2,0,0,5,1,2,2,2,2,2,1,0,0,0,0,0
DT0100143,1,1,0,0,1,2,1,1,1,3,0,1,1,2,2,2,2,1,2,1,0,1,0,1,1
DT0100144,1,0,0,0,0,2,1,1,3,2,1,2,2,1,2,2,2,1,2,3,1,0,1,1,0
DT0100145,0,1,3,0,0,2,1,1,1,3,1,2,1,2,2,2,2,1,4,1,0,1,1,0,1
DT0100146,0,0,1,0,1,2,1,1,1,3,0,1,2,1,1,2,2,2,2,3,0,0,0,0,0
DT0100147,0,1,2,0,0,2,1,1,1,3,1,0,2,2,2,2,2,1,2,1,1,1,1,0,1
DT0100149,0,0,0,0,2,2,1,1,1,3,1,2,2,2,2,2,1,2,2,4,0,0,0,0,0
DT0100150,1,1,2,0,1,2,1,1,1,3,1,3,2,2,2,2,2,2,3,1,1,0,1,1,1
DT0100151,0,0,0,0,2,2,1,1,1,3,0,0,1,1,1,2,2,1,2,4,1,0,0,1,0
DT0100154,1,1,2,0,0,2,1,1,1,3,1,1,2,2,2,2,2,2,3,1,0,0,1,0,1
DT0100155,0,1,0,0,2,2,1,1,1,3,1,0,2,2,2,2,2,1,2,1,1,0,1,0,0
DT0100160,0,0,3,0,0,2,1,1,1,3,0,3,2,2,2,2,2,1,2,1,0,0,0,0,1
DT0100161,1,1,4,0,1,2,1,1,1,3,1,2,2,2,2,2,2,2,4,1,1,0,0,0,1
DT0100162,0,1,1,0,0,2,1,2,1,3,1,2,2,2,2,2,2,2,3,1,0,0,0,0,1
DT0100163,0,1,2,0,0,2,1,1,1,3,1,2,2,2,2,2,2,2,3,1,1,0,1,1,0
DT0100164,0,1,0,0,1,2,1,2,1,3,1,1,2,2,2,2,2,1,2,1,1,0,0,0,0
DT0100166,1,1,4,0,1,2,1,1,1,3,1,3,2,2,2,2,2,1,4,1,0,1,1,1,1
DT0100169,0,0,0,0,2,2,1,1,1,3,0,1,2,2,2,2,2,2,2,4,0,0,0,0,1
DT0100170,0,1,3,0,0,2,1,1,1,3,1,2,2,2,2,2,2,2,4,1,0,0,0,0,1
DT0100171,1,1,3,0,1,2,1,1,1,3,0,2,1,2,2,2,2,2,2,1,1,2,1,0,1
DT0100172,0,0,4,0,0,2,1,1,1,3,1,2,2,2,2,2,2,1,4,3,0,0,0,0,1
DT0100174,0,0,0,0,0,2,1,2,1,3,1,0,2,1,2,2,2,2,3,4,0,0,0,0,0
DT0100175,0,1,0,0,0,2,1,2,1,3,1,0,5,2,2,2,2,2,2,1,0,0,0,0,0
DT0100176,1,1,2,0,2,2,1,1,1,3,1,0,2,2,2,2,2,1,4,1,1,2,1,0,1
DT0100177,1,1,2,0,1,2,1,1,1,3,0,2,2,2,2,2,2,1,4,1,0,0,1,0,1
DT0100178,1,1,3,0,0,2,1,1,1,3,1,2,2,1,2,2,2,2,2,1,0,0,0,0,0
DT0100180,1,1,3,0,1,2,1,1,1,3,1,0,2,1,2,2,2,1,4,1,0,0,0,1,0
