hhid,longitude,latitude,altitude,kebele
DT1301189,37.89564,12.9955,2,DT13
DT1301188,37.8956,12.99574,2,DT13
DT1301187,37.89555,12.99615,2,DT13
DT1301186,37.89565,12.99605,2,DT13
DT1301185,37.895790000000005,12.995999999999999,2,DT13
DT1301184,37.89604,12.9957,2,DT13
DT1301183,37.89586,12.9984,2,DT13
DT1101617,37.82716,13.05996,2,DT11
DT1301182,37.89432,13.00023,2,DT13
DT1301181,37.89451,13.002180000000001,2,DT13
DT1301180,37.89478,12.99975,2,DT13
DT1301179,37.89508,12.99951,2,DT13
DT1301178,37.89555,12.99848,2,DT13
DT1301177,37.89587,12.99816,2,DT13
DT1301176,37.8965,12.99765,2,DT13
DT1301175,37.8964,12.99691,2,DT13
DT1301174,37.89605,12.996739999999999,2,DT13
DT1301173,37.89614,12.99677,2,DT13
DT1301475,37.89563,12.996039999999999,2,DT13
DT1301172,37.893359999999994,12.99675,2,DT13
DT1301171,37.89646,12.99633,2,DT13
DT1301170,37.89656,12.9957,2,DT13
DT1301169,37.89604,12.9957,2,DT13
DT1101583,37.82266,13.0642,2,DT11
DT1301168,37.896840000000005,12.99566,2,DT13
DT1301167,37.8969,12.99555,2,DT13
DT0103292,37.76447,12.93073,2,DT01
DT1301166,37.89691,12.9955,2,DT13
DT1301165,37.8969,12.99554,2,DT13
DT1301164,37.89682,12.99537,2,DT13
DT1301163,37.89719,12.99103,2,DT13
DT1301162,37.89675,12.99434,2,DT13
DT1301161,37.89705,12.99447,2,DT13
DT1301160,37.8973,12.99385,2,DT13
DT1301159,37.897490000000005,12.99375,2,DT13
DT1301158,37.89744,12.993689999999999,2,DT13
DT1301157,37.89755,12.99343,2,DT13
DT1301156,37.89762,12.9934,2,DT13
DT1301155,37.8976,12.99334,2,DT13
DT1301154,37.8976,12.99324,2,DT13
DT1301550,37.89771,12.993139999999999,2,DT13
DT1301153,37.89775,12.993139999999999,2,DT13
DT1301152,37.89663,12.99293,2,DT13
DT1301151,37.89711,12.99182,2,DT13
DT1301150,37.897090000000006,12.991810000000001,2,DT13
DT1301149,37.89298,12.99249,2,DT13
DT1301148,37.89809,12.99831,2,DT13
DT1301147,37.89806,12.99197,2,DT13
DT1301146,37.96622,12.99213,2,DT13
DT1301145,37.89881,12.991539999999999,2,DT13
DT1301469,37.89792,12.99093,2,DT13
DT1301144,37.89873,12.99162,2,DT13
DT1301143,37.89843,12.99137,2,DT13
DT1301142,37.89845,12.99134,2,DT13
DT1301141,37.89806,12.99132,2,DT13
DT1301140,37.89799,12.99103,2,DT13
DT1301139,37.89659,12.991660000000001,2,DT13
DT1301138,37.89655,12.991589999999999,2,DT13
DT1301549,37.89656,12.99164,2,DT13
DT1301137,37.89656,12.99157,2,DT13
DT1301136,37.8966,12.99182,2,DT13
DT1301135,37.896409999999996,12.99192,2,DT13
DT1301134,37.896390000000004,12.99215,2,DT13
DT1301133,37.89679,12.99273,2,DT13
DT1301548,37.89631,12.99285,2,DT13
DT1301132,37.89629,12.99285,2,DT13
DT1301131,37.89634,12.99287,2,DT13
DT1301130,37.896570000000004,12.99266,2,DT13
DT1301129,37.89614,12.992569999999999,2,DT13
DT1301128,37.896029999999996,12.9923,2,DT13
DT1301127,37.895759999999996,12.992939999999999,2,DT13
DT1301126,37.89593,12.993160000000001,2,DT13
DT1301125,37.8959,12.99307,2,DT13
DT1301124,37.895540000000004,12.994480000000001,2,DT13
DT1301123,37.89574,12.99426,2,DT13
DT1301122,37.8958,12.99422,2,DT13
DT1301121,37.89567,12.99394,2,DT13
DT1301120,37.89566,12.99393,2,DT13
DT1301119,37.895309999999995,12.99341,2,DT13
DT1301118,37.89536,12.9938,2,DT13
DT1301117,37.895309999999995,12.994019999999999,2,DT13
DT1301116,37.89674,12.994489999999999,2,DT13
DT1301115,37.89435,12.99635,2,DT13
DT1301485,37.89305,12.99612,2,DT13
DT1301114,37.8939,12.99687,2,DT13
DT1301113,37.893809999999995,12.99682,2,DT13
DT1301112,37.89434,12.99624,2,DT13
DT1301111,37.89421,12.99612,2,DT13
DT1301110,37.89413,12.995999999999999,2,DT13
DT1301486,37.893359999999994,12.99536,2,DT13
DT1301109,37.89373,12.99568,2,DT13
DT1301108,37.8938,12.99563,2,DT13
DT1301107,37.89382,12.99566,2,DT13
DT1301106,37.893879999999996,12.99548,2,DT13
DT1301105,37.8938,12.99515,2,DT13
DT1301104,37.89378,12.99518,2,DT13
DT1301103,37.89387,12.995,2,DT13
DT1301102,37.89392,12.99479,2,DT13
DT1301101,37.89385,12.99469,2,DT13
DT1301100,37.8939,12.9957,2,DT13
DT1301099,37.89412,12.99432,2,DT13
DT1301098,37.8941,12.99426,2,DT13
DT1301097,37.89416,12.99409,2,DT13
DT1301096,37.894,12.994010000000001,2,DT13
DT1301095,37.89417,12.993889999999999,2,DT13
DT1301546,37.88351,12.98766,2,DT13
DT1301094,37.89456,12.99323,2,DT13
DT1301093,37.89484,12.99357,2,DT13
DT1301092,37.99422,12.99315,2,DT13
DT1301091,37.89294,12.99272,2,DT13
DT1301383,37.8847,12.98255,2,DT13
DT1301090,37.99422,12.99315,2,DT13
DT1301382,37.884859999999996,12.98252,2,DT13
DT1301089,37.89266,12.99284,2,DT13
DT1301542,37.892559999999996,12.99288,2,DT13
DT1301088,37.89249,12.99295,2,DT13
DT1301087,37.89233,12.99216,2,DT13
DT1301086,37.89315,12.99248,2,DT13
DT1301085,37.893390000000004,12.99274,1,DT13
DT1301084,37.77682,12.94502,2,DT13
DT1301083,37.89472,12.99141,2,DT13
DT1301082,37.895340000000004,12.99108,2,DT13
DT1301081,37.89528,12.99112,2,DT13
DT1301080,37.8952,12.9908,2,DT13
DT1301079,37.895140000000005,12.99081,2,DT13
DT1301078,37.894709999999996,12.9992,2,DT13
DT1301077,37.89437,12.99075,2,DT13
DT1301076,37.89437,12.99075,2,DT13
DT1301075,37.89428,12.99098,2,DT13
DT1301074,37.8943,12.99126,2,DT13
DT1301073,37.89395,12.991,2,DT13
DT1301072,37.89395,12.991,2,DT13
DT1301071,37.89428,12.99057,2,DT13
DT1301070,37.89419,12.99052,2,DT13
DT1301069,37.8942,12.99047,2,DT13
DT1301068,37.894890000000004,12.98912,2,DT13
DT1301067,37.894709999999996,12.989339999999999,2,DT13
DT1301066,37.894690000000004,12.98933,2,DT13
DT1301065,37.89495,12.989410000000001,2,DT13
DT1101497,37.82843,13.061169999999999,2,DT11
DT1301064,37.89516,12.99007,2,DT13
DT1301468,37.89495,12.98961,2,DT13
DT1301063,37.8959,12.99032,2,DT13
DT1301062,37.89635,12.9904,2,DT13
DT1301061,37.89648,12.99035,2,DT13
