hhid,Q4011,Q4012,Q4013,Q4014,Q4015,Q4016,Q4060,Q401,Q406
DT0200203,1,0,0,0,0,0,4,1,2
DT1300566,0,0,0,0,1,1,7,2,2
DT0800573,0,0,0,1,0,0,7,2,2
DT1202158,0,0,0,1,0,0,5,2,2
DT1100103,1,0,0,0,0,0,4,1,2
DT0100852,1,0,0,0,0,0,3,1,1
DT0102255,1,0,0,0,0,0,4,1,2
DT0100489,1,0,0,0,0,0,3,1,1
DT0100331,1,0,0,0,0,0,4,1,2
DT0102646,1,0,0,0,0,0,4,1,2
DT0700566,0,0,0,1,0,0,7,2,2
DT0800585,0,0,0,1,0,0,7,2,2
DT0800587,0,0,0,1,0,0,7,2,2
DT0400172,0,0,0,1,0,0,4,2,2
DT0800589,0,0,0,0,1,0,7,2,2
DT1000645,0,0,1,0,0,0,7,1,2
DT0500538,0,0,1,0,0,0,4,1,2
DT1000390,0,1,0,0,0,0,7,1,2
DT0900608,1,0,0,0,0,0,4,1,2
DT0201493,1,0,0,0,0,0,4,1,2
DT0900934,1,0,0,0,0,0,7,1,2
DT1000446,0,1,0,0,0,0,4,1,2
DT1200204,0,0,0,0,0,1,7,2,2
DT0201230,1,0,0,0,0,0,4,1,2
DT0101977,1,0,0,0,0,0,7,1,2
DT1000346,0,1,0,0,0,0,5,1,2
DT1000423,0,1,0,0,0,0,4,1,2
DT1300294,0,0,0,1,0,0,7,2,2
DT1201458,0,0,0,1,0,0,7,2,2
DT0501111,0,0,1,0,0,0,4,1,2
DT0800615,0,0,0,1,0,1,7,2,2
DT1101239,1,0,0,0,0,0,4,1,2
DT0800619,0,0,0,0,1,0,7,2,2
DT0500896,0,0,0,1,0,0,7,2,2
DT0801337,0,0,0,0,0,1,7,2,2
DT1301250,0,0,0,1,0,0,7,2,2
DT0801081,0,0,0,1,0,0,7,2,2
DT0800923,0,0,0,0,0,1,7,2,2
DT0102030,1,0,0,0,0,0,4,1,2
DT0400390,0,0,0,1,0,0,5,2,2
DT1201785,0,0,0,1,0,0,7,2,2
DT1300517,0,0,0,1,0,0,7,2,2
dt1100398,1,0,0,0,0,0,7,1,2
DT0900925,1,0,0,0,0,0,4,1,2
DT0801053,0,0,0,1,0,0,7,2,2
DT0800637,0,0,0,0,0,1,7,2,2
DT0300295,0,0,0,0,0,1,4,2,2
DT0900233,1,0,0,0,0,0,4,1,2
DT0500423,0,0,1,0,0,0,7,1,2
DT0100028,1,0,0,0,0,0,5,1,2
DT0800645,0,0,0,0,0,1,7,2,2
DT1101297,1,0,0,0,0,0,7,1,2
DT0500071,0,0,0,0,0,0,7,2,2
DT0401011,0,0,0,0,0,1,7,2,2
DT0800925,0,0,0,0,0,1,7,2,2
DT1100581,1,0,0,0,0,0,7,1,2
DT0701039,0,0,0,0,0,1,7,2,2
DT0800654,0,0,0,0,0,1,7,2,2
DT0900258,1,0,0,0,0,0,5,1,2
DT0800656,0,0,0,0,0,1,7,2,2
DT0300522,0,0,0,1,0,0,7,2,2
DT0901024,1,0,0,0,0,0,7,1,2
dt0400586,0,1,0,0,0,0,4,1,2
DT0300004,0,0,0,1,0,0,7,2,2
dt0400626,0,1,0,0,0,0,5,1,2
DT0500157,0,0,0,0,0,1,7,2,2
DT0200410,0,1,0,0,0,0,7,1,2
DT1100499,0,1,0,0,0,0,7,1,2
DT0400283,0,0,0,1,0,0,4,2,2
DT0101220,1,0,0,0,0,0,7,1,2
DT0900087,1,0,0,0,0,0,3,1,1
DT0800284,0,0,0,0,0,1,7,2,2
DT0800672,0,0,0,0,0,1,7,2,2
DT0600989,0,0,0,1,0,0,7,2,2
DT0500377,0,0,1,0,0,0,7,1,2
DT0600206,0,1,0,0,0,0,7,1,2
DT0901854,0,0,0,1,0,0,4,2,2
DT1000428,0,1,0,0,0,0,4,1,2
DT1201409,0,0,0,1,0,0,4,2,2
DT0200445,1,0,0,0,0,0,7,1,2
DT0800681,0,0,0,1,0,0,7,2,2
DT1301164,0,0,0,1,0,0,7,2,2
DT0800683,0,0,0,0,0,1,7,2,2
DT0600622,0,0,0,1,0,0,7,2,2
DT0500607,0,0,1,1,0,0,5,1,2
DT0101228,1,0,0,0,0,0,7,1,2
DT0101735,1,0,0,0,0,0,4,1,2
DT1000188,0,0,0,1,0,0,6,2,2
DT0200913,1,0,0,0,0,0,4,1,2
DT0801038,0,0,0,1,0,0,7,2,2
DT1200265,0,0,0,1,0,0,7,2,2
DT1202079,0,0,0,1,0,0,4,2,2
DT0301047,0,0,0,1,0,0,7,2,2
DT1201731,0,0,0,1,0,0,7,2,2
DT1201744,0,0,0,1,0,0,7,2,2
DT0800101,0,0,0,0,0,1,7,2,2
DT1000647,0,0,1,0,0,0,4,1,2
DT1000516,0,0,0,1,0,0,7,2,2
DT1300343,0,1,0,0,0,0,7,1,2
DT0101708,1,0,0,0,0,0,4,1,2
DT1000203,0,0,0,1,0,0,7,2,2
DT0800709,0,0,0,0,0,1,7,2,2
DT0600961,0,0,1,0,0,0,7,1,2
DT0900610,1,0,0,0,0,0,4,1,2
DT1100481,1,0,0,0,0,0,7,1,2
DT1300917,0,0,0,1,0,0,7,2,2
DT0101769,1,0,0,0,0,0,3,1,1
DT0800715,0,0,0,0,0,1,7,2,2
DT0802005,0,0,0,1,0,0,7,2,2
DT0600792,0,0,1,0,0,0,7,1,2
DT1200432,0,0,0,1,0,0,7,2,2
DT0900001,1,0,0,0,0,0,4,1,2
DT0102264,1,0,0,0,0,0,3,1,1
DT0800724,0,0,0,1,0,0,7,2,2
DT0900439,1,0,0,0,0,0,5,1,2
DT0600937,0,0,1,0,0,0,4,1,2
dt0700753,0,0,0,0,0,1,7,2,2
DT0800444,0,0,0,1,0,0,7,2,2
DT0700009,0,0,0,0,0,1,7,2,2
DT0800732,0,0,0,0,0,1,7,2,2
DT0101962,1,0,0,0,0,0,7,1,2
DT0500540,0,0,1,0,0,0,4,1,2
DT0300740,0,0,1,0,0,0,7,1,2
DT0500317,0,0,1,0,0,0,5,1,2
DT0102508,1,0,0,0,0,0,3,1,1
DT0600137,0,1,0,0,0,0,7,1,2
DT1301034,0,0,0,1,0,0,7,2,2
DT1101029,1,0,0,0,0,0,7,1,2
DT0601037,0,0,1,1,0,0,4,1,2
DT0600324,0,0,1,0,0,0,7,1,2
DT0800747,0,0,0,0,0,1,7,2,2
DT0601059,0,0,1,0,0,0,4,1,2
DT0100619,1,0,0,0,0,0,4,1,2
dt0400564,0,1,0,0,0,0,4,1,2
DT0300340,0,0,0,1,0,0,7,2,2
DT0900477,1,0,0,0,0,0,4,1,2
DT0800754,0,0,0,0,0,1,7,2,2
dt1100841,1,0,0,0,0,0,7,1,2
DT0200151,1,0,0,0,0,0,4,1,2
DT1300037,0,0,0,1,0,1,7,2,2
DT1000646,0,0,1,0,0,0,4,1,2
DT0400972,0,1,0,0,0,0,4,1,2
DT0800762,0,0,0,1,0,0,7,2,2
DT0700958,0,0,0,0,0,1,7,2,2
DT0600108,0,0,0,1,0,0,7,2,2
DT0700602,0,0,0,0,0,1,7,2,2
DT0601249,0,0,0,1,0,0,7,2,2
DT1200834,0,0,0,0,0,1,7,2,2
DT1100819,1,0,0,0,0,0,7,1,2
DT0200106,1,0,0,0,0,0,4,1,2
DT1100873,1,0,0,0,0,0,7,1,2
DT1100006,0,0,1,0,0,0,7,1,2
DT1300430,0,0,0,1,0,0,5,2,2
DT1200333,0,0,0,1,0,0,7,2,2
DT0100147,1,0,0,0,0,0,5,1,2
DT0801163,0,0,0,0,0,1,7,2,2
DT0800993,0,0,0,1,0,0,7,2,2
DT0700287,0,0,0,1,0,0,7,2,2
DT0600971,0,0,1,0,0,0,7,1,2
DT0700509,0,0,0,0,0,1,7,2,2
DT1100082,1,1,0,0,0,0,7,1,2
DT1100107,1,0,0,0,0,0,7,1,2
DT0200250,1,0,0,0,0,0,4,1,2
DT0200138,1,0,0,0,0,1,5,1,2
DT0600438,0,1,0,0,0,0,7,1,2
DT0200130,1,0,0,0,0,0,4,1,2
DT0500586,0,0,0,1,0,0,4,2,2
DT0401067,0,1,0,0,0,0,7,1,2
DT0501089,0,0,0,1,0,0,7,2,2
DT0801749,0,0,0,1,0,0,4,2,2
DT0801463,0,0,0,0,0,1,7,2,2
DT1201593,0,0,0,1,0,0,4,2,2
DT1001126,0,1,0,0,0,0,4,1,2
DT1200983,0,0,0,1,0,0,7,2,2
DT0800799,0,0,0,0,0,1,7,2,2
DT0600078,0,1,0,0,0,0,7,1,2
DT1200508,0,0,0,1,0,0,7,2,2
DT1200696,0,0,0,1,0,0,7,2,2
DT1201511,0,1,0,0,0,0,7,1,2
DT1201676,0,0,0,1,0,0,7,2,2
DT0800806,0,0,0,0,0,1,7,2,2
DT0200732,1,0,0,0,0,0,4,1,2
DT1300019,0,0,0,1,0,0,7,2,2
DT0301050,0,0,0,0,0,1,7,2,2
DT0300517,0,0,0,1,0,0,7,2,2
DT0800789,0,0,0,0,0,1,7,2,2
DT0301114,0,1,0,0,0,0,5,1,2
DT1200537,0,0,0,1,0,0,7,2,2
DT0300725,0,0,1,0,0,0,7,1,2
DT1301100,0,0,0,1,0,0,7,2,2
DT0601340,0,0,1,0,0,0,7,1,2
DT0800830,0,0,0,0,0,1,7,2,2
DT0700449,0,0,0,0,0,1,7,2,2
DT0800835,0,0,0,0,0,1,7,2,2
DT0801671,0,0,0,0,0,1,7,2,2
DT0102150,1,0,0,0,0,0,4,1,2
DT1300496,0,1,0,0,0,0,7,1,2
DT0800727,0,0,0,1,0,0,7,2,2
DT1300771,0,0,0,1,0,0,7,2,2
DT0102418,1,0,0,0,0,0,7,1,2
DT0800847,0,0,0,0,0,1,7,2,2
DT0400334,0,1,0,0,0,0,7,1,2
DT1301258,0,0,0,1,0,0,7,2,2
DT0700164,0,0,0,1,0,1,7,2,2
DT1300264,0,0,0,1,0,0,7,2,2
DT0600264,0,0,1,0,0,0,7,1,2
